date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
01/23/20 15:53:55,72a11434,0.78,0.683,Car
01/23/20 15:53:58,7za11434,0.81,0.685,Car
01/23/20 15:54:02,tza11434,0.894,0.687,Car
01/23/20 15:54:06,tza11434,0.84,0.694,Car
01/23/20 15:54:11,7za11434,0.825,0.695,Car
01/23/20 15:54:14,7za11434,0.828,0.699,Car
01/23/20 15:54:18,7za11434,0.838,0.693,Car
01/23/20 15:54:22,tza11434,0.828,0.69,Car
01/23/20 15:54:26,tza11434,0.845,0.692,Car
01/23/20 15:54:30,7za11434,0.82,0.693,Car
01/23/20 15:54:33,7za11434,0.844,0.693,Car
01/23/20 15:54:37,7za11434,0.839,0.702,Car
01/23/20 15:54:41,7za11434,0.841,0.704,Car
01/23/20 15:54:45,7za11434,0.834,0.698,Car
01/23/20 15:54:49,7za11434,0.828,0.692,Car
01/23/20 15:54:53,7za11434,0.856,0.688,Car
01/23/20 15:54:57,7za11434,0.844,0.69,Car
01/23/20 15:55:01,7za11434,0.823,0.686,Car
01/23/20 15:55:04,7za11434,0.835,0.682,Car
01/23/20 15:55:08,7za11434,0.86,0.69,Car
01/23/20 15:55:11,72a11434,0.79,0.685,Car
01/23/20 15:55:15,72a11434,0.744,0.686,Car
01/23/20 15:55:19,7za11434,0.822,0.692,Car
01/23/20 15:55:23,7za11434,0.844,0.692,Car
01/23/20 15:55:27,7za11434,0.817,0.691,Car
01/23/20 15:55:31,7za11434,0.852,0.685,Car
01/23/20 15:55:35,tza11434,0.873,0.687,Car
01/23/20 15:55:38,7za11434,0.834,0.687,Car
01/23/20 15:55:42,7za11434,0.821,0.681,Car
01/23/20 15:55:46,7za11434,0.822,0.683,Car
01/23/20 15:55:49,tza11434,0.851,0.686,Car
01/23/20 15:55:55,72a11434,0.782,0.686,Car
01/23/20 15:55:58,7za11434,0.832,0.694,Car
01/23/20 15:56:02,72a11434,0.699,0.688,Car
01/23/20 15:56:06,7za11434,0.871,0.687,Car
01/23/20 15:56:10,7za11434,0.844,0.695,Car
date,license_plate,score,dscore,vehicle_type
01/23/20 16:18:38,72l2473,0.908,0.726,Car
01/23/20 16:18:42,72l2473,0.903,0.745,Car
01/23/20 16:18:46,72l2473,0.903,0.741,Car
01/23/20 16:18:49,72l2473,0.905,0.782,Car
01/23/20 16:18:53,72l2473,0.899,0.763,Car
01/23/20 16:18:56,72l2473,0.889,0.705,Car
01/23/20 16:19:00,72l2473,0.889,0.706,Car
01/23/20 16:19:06,72l2473,0.885,0.71,Car
01/23/20 16:19:10,72l2473,0.887,0.711,Car
01/23/20 16:19:13,72l2473,0.894,0.711,Car
01/23/20 16:19:17,72l2473,0.886,0.709,Car
01/23/20 16:19:20,72l2473,0.893,0.712,Car
01/23/20 16:19:24,72l2473,0.892,0.713,Car
01/23/20 16:19:27,72l2473,0.892,0.71,Car
01/23/20 16:19:31,72l2473,0.884,0.712,Car
01/23/20 16:19:34,72l2473,0.889,0.714,Car
01/23/20 16:19:37,72l2473,0.889,0.715,Car
01/23/20 16:19:41,72l2473,0.888,0.717,Car
01/23/20 16:19:44,72l2473,0.891,0.718,Car
01/23/20 16:19:47,72l2473,0.889,0.719,Car
01/23/20 16:19:51,72l2473,0.881,0.715,Car
01/23/20 16:19:54,72l2473,0.898,0.712,Car
01/23/20 16:19:58,72l2473,0.899,0.72,Car
01/23/20 16:20:05,72l2473,0.898,0.72,Car
01/23/20 16:20:09,72l2473,0.893,0.722,Car
01/23/20 16:20:12,72l2473,0.899,0.722,Car
01/23/20 16:20:16,72l2473,0.891,0.713,Car
01/23/20 16:20:20,72l2473,0.896,0.711,Car
01/23/20 16:20:23,72l2473,0.896,0.709,Car
01/23/20 16:20:27,72l2473,0.897,0.705,Car
01/23/20 16:20:30,72l2473,0.898,0.706,Car
01/23/20 16:20:34,72l2473,0.899,0.704,Car
01/23/20 16:20:37,72l2473,0.903,0.705,Car
01/23/20 16:20:41,72l2473,0.893,0.705,Car
01/23/20 16:20:44,72l2473,0.895,0.701,Car
01/23/20 16:20:48,72l2473,0.899,0.703,Car
date,license_plate,score,dscore,vehicle_type
01/23/20 16:28:11,72c107057,0.908,0.32,Car
01/23/20 16:28:15,72c107057,0.902,0.384,Car
01/23/20 16:28:19,72c10705,0.745,0.439,Car
01/23/20 16:28:22,72e10705,0.779,0.331,Car
01/23/20 16:28:26,72c107057,0.915,0.771,Motorcycle
01/23/20 16:28:30,72c107057,0.905,0.786,Motorcycle
01/23/20 16:28:33,72c107057,0.899,0.757,Motorcycle
01/23/20 16:28:37,72c107057,0.914,0.767,Motorcycle
01/23/20 16:28:41,72c107057,0.905,0.743,Motorcycle
01/23/20 16:28:45,72c107057,0.907,0.733,Motorcycle
01/23/20 16:28:49,72c107057,0.904,0.775,Motorcycle
01/23/20 16:28:52,72c107057,0.907,0.786,Motorcycle
01/23/20 16:28:56,72c107057,0.91,0.74,Motorcycle
01/23/20 16:28:59,72c107057,0.908,0.77,Motorcycle
01/23/20 16:29:06,72c107057,0.916,0.77,Motorcycle
01/23/20 16:29:10,72c107057,0.906,0.745,Motorcycle
01/23/20 16:29:14,72c107057,0.915,0.742,Motorcycle
01/23/20 16:29:18,72c107057,0.908,0.721,Motorcycle
01/23/20 16:29:22,72c107057,0.909,0.713,Motorcycle
01/23/20 16:29:26,72c107057,0.914,0.708,Motorcycle
01/23/20 16:29:30,72c107057,0.904,0.725,Motorcycle
01/23/20 16:29:34,72c107057,0.905,0.705,Motorcycle
01/23/20 16:29:38,72c107057,0.907,0.729,Motorcycle
01/23/20 16:29:42,72c107057,0.913,0.759,Motorcycle
01/23/20 16:29:47,72c107057,0.906,0.746,Motorcycle
01/23/20 16:29:51,72c107057,0.882,0.761,Motorcycle
01/23/20 16:29:54,72c107057,0.914,0.755,Motorcycle
01/23/20 16:29:58,72c107057,0.888,0.727,Motorcycle
01/23/20 16:30:03,72c107057,0.901,0.738,Motorcycle
01/23/20 16:30:07,72c107057,0.904,0.754,Motorcycle
01/23/20 16:30:12,72c107057,0.915,0.753,Motorcycle
01/23/20 16:30:15,72c107057,0.873,0.729,Motorcycle
01/23/20 16:30:19,72c107057,0.909,0.321,Car
01/23/20 16:30:23,72c107057,0.91,0.773,Motorcycle
01/23/20 16:30:27,72c107057,0.9,0.761,Motorcycle
01/23/20 16:30:30,72c107057,0.9,0.75,Motorcycle
01/23/20 16:30:34,72c107057,0.91,0.794,Motorcycle
date,license_plate,score,dscore,vehicle_type
01/23/20 16:55:22,126131725,0.736,0.759,Motorcycle
01/23/20 16:55:35,72611176,0.68,0.269,Truck
01/23/20 16:55:39,726111z6,0.721,0.238,Truck
01/23/20 16:56:01,725f71176,0.6,0.206,Truck
01/23/20 16:56:39,72g23129,0.606,0.216,Truck
01/23/20 16:56:42,t2g131725,0.672,0.762,Motorcycle
date,license_plate,score,dscore,vehicle_type
01/23/20 16:58:44,72l94351,0.913,0.805,Motorcycle
01/23/20 16:58:44,51a90105,0.898,0.551,Car
01/23/20 16:58:49,72l94351,0.911,0.803,Motorcycle
01/23/20 16:58:49,51a90105,0.897,0.557,Car
01/23/20 16:58:53,72l94351,0.914,0.807,Motorcycle
01/23/20 16:58:53,51a90105,0.892,0.561,Car
01/23/20 16:58:56,72l94351,0.903,0.804,Motorcycle
01/23/20 16:58:56,51a90105,0.897,0.542,Car
01/23/20 16:59:00,72l94351,0.913,0.805,Motorcycle
01/23/20 16:59:00,51a90105,0.894,0.536,Car
