MAKE,MODEL,LICENSE_PLATE
JEEP,CHEROKEE,DW11ZM
NISSAN,ALTIMA,9GLZ786
CHEVROLET,MALIBU,AF49JD
HONDA,CIVIC SEDAN,9GWY688
HONDA,CIVIC SEDAN,9EOY189
HONDA,CIVIC SEDAN,CWS3814
HONDA,CIVIC HATCHBACK,THF9656
HONDA,CIVIC HATCHBACK,9MFF050
HONDA,CIVIC HATCHBACK,DAA7792
HONDA,CIVIC HATCHBACK,9LRR599
HONDA,CIVIC HATCHBACK,87AUPW
HONDA,CIVIC HATCHBACK,9GLZ453
HONDA,CIVIC HATCHBACK,CZY5444
HONDA,CIVIC HATCHBACK,DAA8572
HONDA,CIVIC HATCHBACK,DQ67FN
HONDA,CIVIC HATCHBACK,L35VEJ
HONDA,CIVIC HATCHBACK,WFK4607
HONDA,CIVIC HATCHBACK,THY8504
HONDA,CIVIC HATCHBACK,9STX637
HONDA,CIVIC HATCHBACK,VZB9292
